"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenSkills_Perk_Hunting_Desc3","You have a %1 better chance of not losing your fishing hook or worm when failing to catch a fish","You have a %1 better chance of not losing your fishing hook or worm when failing to catch a fish","Máš o %1 vyšší šanci nepřijít o háček nebo červa při neúspěšném lovu","Du hast eine um %1 bessere Chance, deinen Haken oder Wurm nicht zu verlieren, wenn du keinen Fisch fängst","У тебя на %1 больше шансов не потерять крючок или червя при неудачной рыбалке","Masz o %1 większą szansę, że nie stracisz haczyka ani robaka przy nieudanym połowie","%1 nagyobb esélyed van, hogy ne veszítsd el a horgot vagy a gilisztát, ha nem fogsz halat","Hai una %1 migliore possibilità di non perdere l’amo o l’esca quando fallisci una pesca","Tienes un %1 mejor probabilidad de no perder el anzuelo o gusano al fallar una pesca","Vous avez %1 de meilleures chances de ne pas perdre votre hameçon ou ver si vous échouez à attraper un poisson","没钓到鱼时不丢鱼钩或虫子的几率提高%1。","魚が釣れなかったときに針やエサを失わない確率が%1上がる。","Você tem %1 mais chance de não perder o anzol ou a isca ao falhar em pescar","没钓到鱼时不丢鱼钩或虫子的几率提高%1。",
"STR_ZenSkills_Perk_Hunting_Desc4","Your fishing hooks have a %1 increase in durability","Your fishing hooks have a %1 increase in durability","Tvůj háček má o %1 vyšší trvanlivost","Deine Angelhaken haben %1 mehr Haltbarkeit","Прочность рыболовных крючков увеличена на %1","Twój haczyk ma o %1 większą trwałość","A horgaid %1 tartósabbak","I tuoi ami da pesca hanno una durata aumentata del %1","Tus anzuelos tienen un %1 más de durabilidad","Vos hameçons ont une durabilité augmentée de %1","你的鱼钩耐久度提高%1。","釣り針の耐久力が%1上がる。","Seus anzóis têm %1 mais durabilidade","你的鱼钩耐久度提高%1。",
"STR_ZenSkills_Perk_Hunting_Desc5","You get %1 more meat quantity from animals","You get %1 more meat quantity from animals","Získáš o %1 více masa ze zvířat","Du erhältst %1 mehr Fleisch von Tieren","Ты получаешь на %1 больше мяса с животных","Dostajesz o %1 więcej mięsa ze zwierząt","%1 több húst kapsz az állatokból","Ottieni %1 carne in più dagli animali","Obtienes %1 más cantidad de carne de los animales","Vous obtenez %1 de viande en plus des animaux","你从动物身上获得的肉量增加%1。","動物から得られる肉の量が%1増える。","Você obtém %1 mais carne dos animais","你从动物身上获得的肉量增加%1。",
"STR_ZenSkills_Perk_Hunting_Desc6","You have a %1 chance of getting an extra pristine pelt from skinned animals","You have a %1 chance of getting an extra pristine pelt from skinned animals","Máš %1 šanci získat zvířecí kůži navíc v dokonalém stavu","Du hast eine %1 Chance, ein zusätzliches makelloses Fell von gehäuteten Tieren zu erhalten","У тебя есть %1 шанс получить дополнительную шкуру в отличном состоянии с освежёванных животных","Masz %1 szansy, że otrzymasz dodatkową nienaruszoną skórę ze zdartych zwierząt","%1 esélyed van, hogy plusz hibátlan prémhez juss a megnyúzott állatokból","Hai una %1 possibilità di ottenere una pelle extra intatta dagli animali scuoiati","Tienes un %1 de probabilidad de obtener una piel extra prístina de animales despellejados","Vous avez %1 de chances d’obtenir une peau supplémentaire intacte d’animaux écorchés","你有%1的几率从剥皮的动物身上获得额外完美的毛皮。","動物を剥いだときに追加で無傷の毛皮を得る確率が%1ある。","Você tem %1 de chance de obter uma pele extra intacta de animais esfolados","你有%1的几率从剥皮的动物身上获得额外完美的毛皮。",
"STR_ZenSkills_Perk_Hunting_Desc7","Your traps have a %1 better chance at catching animals","Your traps have a %1 better chance at catching animals","Tvé pasti mají o %1 vyšší šanci chytit zvíře","Deine Fallen haben eine um %1 bessere Chance, Tiere zu fangen","Твои ловушки имеют на %1 больше шансов поймать животных","Twoje pułapki mają o %1 większą szansę złapać zwierzę","A csapdáid %1 nagyobb eséllyel fognak állatokat","Le tue trappole hanno una %1 migliore possibilità di catturare animali","Tus trampas tienen un %1 mejor probabilidad de atrapar animales","Vos pièges ont %1 de meilleures chances d’attraper des animaux","你的陷阱捕捉动物的几率提高%1。","罠で動物を捕まえる確率が%1上がる。","Suas armadilhas têm %1 mais chance de pegar animais","你的陷阱捕捉动物的几率提高%1。",
"STR_ZenSkills_Perk_Hunting_Desc8","You can skin animals %1 faster","You can skin animals %1 faster","Můžeš stáhnout zvířata o %1 rychleji","Du kannst Tiere %1 schneller häuten","Ты можешь снимать шкуру с животных на %1 быстрее","Możesz oskórować zwierzęta o %1 szybciej","%1 gyorsabban tudsz állatokat nyúzni","Puoi scuoiere gli animali %1 più velocemente","Puedes desollar animales un %1 más rápido","Vous pouvez dépecer les animaux %1 plus vite","你剥动物皮的速度提高%1。","動物の皮を%1早く剥げる。","Você pode esfolar animais %1 mais rápido","你剥动物皮的速度提高%1。",
"STR_ZenSkills_Perk_Hunting_Desc9","You have a %1 chance of predator meat being safe to eat","You have a %1 chance of predator meat being safe to eat","Máš %1 šanci, že maso z predátorů bude bezpečné k jídlu","Du hast eine %1 Chance, dass Raubtierfleisch sicher zu essen ist","У тебя есть %1 шанс, что мясо хищников будет безопасным для еды","Masz %1 szansy, że mięso drapieżników będzie bezpieczne do jedzenia","%1 esélyed van arra, hogy a ragadozóhús biztonságosan fogyasztható legyen","Hai una %1 possibilità che la carne dei predatori sia sicura da mangiare","Tienes un %1 de probabilidad de que la carne de depredador sea segura para comer","Vous avez %1 de chances que la viande de prédateur soit sûre à manger","你有%1的几率掠食者的肉可以安全食用。","捕食者の肉が安全に食べられる確率が%1あります。","Você tem %1 de chance de que a carne de predador seja segura para comer","你有%1的几率掠食者的肉可以安全食用。",
"STR_ZenSkills_Perk_Hunting_Desc10","You can track animals within %1 by holding your breath while aiming","You can track animals within %1 by holding your breath while aiming","Můžeš sledovat zvířata v okruhu %1 držením dechu při míření","Du kannst Tiere innerhalb von %1 verfolgen, indem du beim Zielen den Atem anhältst","Ты можешь отслеживать животных в радиусе %1, задержав дыхание во время прицеливания","Możesz śledzić zwierzęta w promieniu %1, wstrzymując oddech podczas celowania","Állatokat követhetsz %1-en belül, ha visszatartod a lélegzeted célzás közben","Puoi seguire gli animali entro %1 trattenendo il respiro mentre miri","Puedes rastrear animales dentro de %1 conteniendo la respiración al apuntar","Vous pouvez traquer les animaux dans un rayon de %1 en retenant votre souffle en visant","屏住呼吸瞄准时，你可以追踪%1范围内的动物。","息を止めて狙うと%1以内の動物を追跡できる。","Você pode rastrear animais dentro de %1 segurando a respiração enquanto mira","屏住呼吸瞄准时，你可以追踪%1范围内的动物。",
"STR_ZenSkills_Name_Gathering","Gathering","Gathering","Sběr","Sammeln","Собирательство","Zbieranie","Gyűjtögetés","Raccolta","Recolección","Collecte","采集","採集","Coleta","采集",
"STR_ZenSkills_Desc_Gathering","Your skills at farming and resource gathering give you a survival advantage.","Your skills at farming and resource gathering give you a survival advantage.","Tvé dovednosti v zemědělství a sběru zdrojů ti dávají výhodu v přežití.","Deine Fähigkeiten in Landwirtschaft und Ressourcensammlung geben dir einen Überlebensvorteil.","Твои навыки в сельском хозяйстве и добыче ресурсов дают тебе преимущество в выживании.","Twoje umiejętności w rolnictwie i zbieraniu zasobów dają ci przewagę w przetrwaniu.","A mezőgazdasági és gyűjtögető képességeid előnyt adnak a túlélésben.","Le tue abilità di coltivazione e raccolta ti danno un vantaggio nella sopravvivenza.","Tus habilidades en agricultura y recolección de recursos te dan una ventaja de supervivencia.","Vos compétences en agriculture et en collecte de ressources vous donnent un avantage de survie.","你的耕作和采集技能给你带来生存优势。","農業と資源収集のスキルが生存に有利になる。","Suas habilidades em agricultura e coleta de recursos lhe dão uma vantagem de sobrevivência.","你的耕作和采集技能给你带来生存优势。",
"STR_ZenSkills_Perk_Gathering_Name1","Gatherer","Gatherer","Sběrač","Sammler","Собиратель","Zbieracz","Gyűjtögető","Raccoglitore","Recolector","Ramasseur","采集者","採集者","Coletor","采集者",
"STR_ZenSkills_Perk_Gathering_Name2","Dr. Green Thumb","Dr. Green Thumb","Zahradník","Grüner Daumen","Зелёный палец","Zielony kciuk","Zöld ujj","Pollice verde","Pulgar verde","Pouce vert","园艺高手","園芸の才","Dedos verdes","园艺高手",
"STR_ZenSkills_Perk_Gathering_Name3","Berry Well","Berry Well","Borůvkový mistr","Beerenmeister","Ягодный мастер","Jagodowy mistrz","Bogyómester","Maestro delle bacche","Maestro de bayas","Maître des baies","浆果达人","ベリー名人","Mestre das bagas","浆果达人",
"STR_ZenSkills_Perk_Gathering_Name4","Extra Fruity","Extra Fruity","Ovocná bomba","Besonders fruchtig","Очень фруктовый","Ekstra owocowy","Extra gyümölcsös","Extra fruttato","Extra afrutado","Extra fruité","额外水果味","特別フルーティー","Extra frutado","额外水果味",
"STR_ZenSkills_Perk_Gathering_Name5","Careful Hands","Careful Hands","Opatrné ruce","Sorgfältige Hände","Осторожные руки","Ostrożne ręce","Óvatos kezek","Mani attente","Manos cuidadosas","Mains soigneuses","小心的手","慎重な手","Mãos cuidadosas","小心的手",
"STR_ZenSkills_Perk_Gathering_Name6","Nurture Over Nature","Nurture Over Nature","Péče nad přírodou","Pflege über Natur","Забота превыше природы","Pielęgnacja ponad naturę","Gondoskodás a természet felett","Cura sulla natura","Cuidado sobre la naturaleza","Le soin sur la nature","关怀胜过自然","自然より養育","Cuidado sobre a natureza","关怀胜过自然",
"STR_ZenSkills_Perk_Gathering_Name7","Quarry","Quarry","Lom","Steinbruch","Карьер","Kamieniołom","Kőbánya","Cava","Cantera","Carrière","采石场","採石場","Pedreira","采石场",
"STR_ZenSkills_Perk_Gathering_Name8","Fertile Soil","Fertile Soil","Úrodná půda","Fruchtbarer Boden","Плодородная почва","Żyzna gleba","Termékeny talaj","Suolo fertile","Suelo fértil","Sol fertile","肥沃的土壤","肥沃な土壌","Solo fértil","肥沃的土壤",
"STR_ZenSkills_Perk_Gathering_Name9","The Woodworker","The Woodworker","Truhlář","Der Schreiner","Столяр","Stolarz","Asztalos","Il falegname","El carpintero","Le menuisier","木工","木工職人","Marceneiro","木工",
"STR_ZenSkills_Perk_Gathering_Name10","The Lumberjack","The Lumberjack","Dřevorubec","Der Holzfäller","Лесоруб","Drwal","Favágó","Il boscaiolo","El leñador","Le bûcheron","伐木工","木こり","Lenhador","伐木工",
"STR_ZenSkills_Perk_Gathering_Desc1","You gain %1 more experience from gathering activities","You gain %1 more experience from gathering activities","Získáš o %1 více zkušeností ze sběru","Du erhältst %1 mehr Erfahrung aus Sammelaktivitäten","Вы получаете на %1 больше опыта от собирательства","Zyskujesz o %1 więcej doświadczenia ze zbieractwa","%1 több tapasztalatot szerzel gyűjtögetésből","Ottieni %1 esperienza in più dalle attività di raccolta","Obtienes %1 más experiencia en actividades de recolección","Vous gagnez %1 d’expérience supplémentaire grâce à la collecte","你从采集活动中获得%1更多经验。","採集活動から%1多くの経験を得る。","Você ganha %1 mais experiência em atividades de coleta","你从采集活动中获得%1更多经验。",
"STR_ZenSkills_Perk_Gathering_Desc2","You get an increased %1 yield on plant harvests","You get an increased %1 yield on plant harvests","Získáš o %1 více rostlinné sklizně","Du erhältst %1 mehr Ertrag bei der Pflanzenernte","Ты получаешь на %1 больше урожая растений","Dostajesz o %1 większy plon roślin","%1 több termést kapsz a növényekből","Ottieni un raccolto di piante aumentato del %1","Obtienes un %1 más de cosecha de plantas","Vous obtenez un rendement accru de %1 sur les récoltes de plantes","你在植物收获中获得%1更多产量。","植物収穫量が%1増える。","Você obtém %1 mais colheita de plantas","你在植物收获中获得%1更多产量。",
"STR_ZenSkills_Perk_Gathering_Desc3","You have a %1 chance to get edible berries when cutting bushes","You have a %1 chance to get edible berries when cutting bushes","Máš %1 šanci získat jedlé bobule při kácení keřů","Du hast eine %1 Chance, beim Schneiden von Büschen essbare Beeren zu erhalten","У тебя есть %1 шанс получить съедобные ягоды при рубке кустов","Masz %1 szansy na zdobycie jadalnych jagód przy cięciu krzaków","%1 esélyed van, hogy ehető bogyót kapj bokrok vágásakor","Hai una %1 possibilità di ottenere bacche commestibili tagliando cespugli","Tienes un %1 de probabilidad de obtener bayas comestibles al cortar arbustos","Vous avez %1 de chances d’obtenir des baies comestibles en coupant des buissons","你有%1的几率在砍灌木时获得可食用浆果。","茂みを切るときに食用ベリーを得る確率が%1ある。","Você tem %1 de chance de obter bagas comestíveis ao cortar arbustos","你有%1的几率在砍灌木时获得可食用浆果。",
"STR_ZenSkills_Perk_Gathering_Desc4","You have a %1 chance to get an extra fruit or mushroom when foraging","You have a %1 chance to get an extra fruit or mushroom when foraging","Máš %1 šanci získat navíc ovoce nebo houbu při sběru","Du hast eine %1 Chance, beim Sammeln eine zusätzliche Frucht oder Pilz zu bekommen","У тебя есть %1 шанс получить дополнительный фрукт или гриб при собирательстве","Masz %1 szansy na dodatkowy owoc lub grzyb przy zbieraniu","%1 esélyed van extra gyümölcsöt vagy gombát találni gyűjtögetés közben","Hai una %1 possibilità di ottenere un frutto o fungo extra durante la raccolta","Tienes un %1 de probabilidad de obtener una fruta o hongo extra al recolectar","Vous avez %1 de chances d’obtenir un fruit ou un champignon supplémentaire lors de la cueillette","你有%1的几率在采集时获得额外水果或蘑菇。","採集で追加の果物やキノコを得る確率が%1ある。","Você tem %1 de chance de obter uma fruta ou cogumelo extra ao coletar","你有%1的几率在采集时获得额外水果或蘑菇。",
"STR_ZenSkills_Perk_Gathering_Desc5","You retain %1 more food from opening canned foods with rough tools","You retain %1 more food from opening canned foods with rough tools","Zachováš o %1 více jídla při otevírání konzerv hrubými nástroji","Du behältst %1 mehr Nahrung beim Öffnen von Konserven mit groben Werkzeugen","Ты сохраняешь на %1 больше еды при открытии консервов грубыми инструментами","Zachowujesz o %1 więcej jedzenia przy otwieraniu konserw prymitywnymi narzędziami","%1 több ételt őrzöl meg konzervnyitáskor durva eszközökkel","Conservi %1 più cibo aprendo scatolette con strumenti rozzi","Conservas un %1 más de comida al abrir latas con herramientas rudimentarias","Vous conservez %1 plus de nourriture en ouvrant des conserves avec des outils grossiers","用粗糙工具开启罐头时保留%1更多食物。","粗い道具で缶詰を開けると%1多く食料が残る。","Você retém %1 mais comida ao abrir enlatados com ferramentas rudes","用粗糙工具开启罐头时保留%1更多食物。",
"STR_ZenSkills_Perk_Gathering_Desc6","Your plants have a %1 reduced grow time and chance to become infested","Your plants have a %1 reduced grow time and chance to become infested","Tvé rostliny mají o %1 kratší dobu růstu a menší šanci na napadení","Deine Pflanzen haben %1 weniger Wachstumszeit und geringere Befallschance","У твоих растений на %1 меньше время роста и шанс заразиться","Twoje rośliny mają o %1 krótszy czas wzrostu i mniejsze ryzyko chorób","A növényeid %1 gyorsabban nőnek és kisebb az esélyük a fertőzésre","Le tue piante hanno un tempo di crescita ridotto del %1 e meno probabilità di infestazione","Tus plantas tienen un %1 menos de tiempo de crecimiento y menos probabilidad de infestarse","Vos plantes ont un temps de croissance réduit de %1 et moins de risque d’infestation","你的植物生长时间缩短%1，感染几率降低。","植物の成長時間が%1短縮され、害虫被害の確率も減る。","Suas plantas têm %1 menos tempo de crescimento e menor chance de infestação","你的植物生长时间缩短%1，感染几率降低。",
"STR_ZenSkills_Perk_Gathering_Desc7","You have a %1 chance to get an extra stone when mining","You have a %1 chance to get an extra stone when mining","Máš %1 šanci získat navíc kámen při těžbě","Du hast eine %1 Chance, beim Abbau einen zusätzlichen Stein zu erhalten","У тебя есть %1 шанс получить дополнительный камень при добыче","Masz %1 szansy na zdobycie dodatkowego kamienia podczas kopania","%1 esélyed van extra követ kapni bányászat közben","Hai una %1 possibilità di ottenere una pietra extra durante l’estrazione","Tienes un %1 de probabilidad de obtener una piedra extra al minar","Vous avez %1 de chances d’obtenir une pierre supplémentaire lors de l’extraction","你有%1的几率在采矿时获得额外石头。","採掘で追加の石を得る確率が%1ある。","Você tem %1 de chance de obter uma pedra extra ao minerar","你有%1的几率在采矿时获得额外石头。",
"STR_ZenSkills_Perk_Gathering_Desc8","You use %1 less fertilizer and water on gardens","You use %1 less fertilizer and water on gardens","Používáš o %1 méně hnojiva a vody na zahradě","Du verwendest %1 weniger Dünger und Wasser im Garten","Ты используешь на %1 меньше удобрений и воды в огороде","Używasz o %1 mniej nawozu i wody w ogrodach","%1 kevesebb trágyát és vizet használsz a kertekben","Usi il %1 in meno di fertilizzante e acqua nei giardini","Usas un %1 menos de fertilizante y agua en los jardines","Vous utilisez %1 moins d’engrais et d’eau dans les jardins","你在花园里使用的肥料和水减少%1。","庭で肥料と水の使用量が%1減る。","Você usa %1 menos fertilizante e água nos jardins","你在花园里使用的肥料和水减少%1。",
"STR_ZenSkills_Perk_Gathering_Desc9","You have a %1 chance to craft double the expected number of planks","You have a %1 chance to craft double the expected number of planks","Máš %1 šanci vyrobit dvojnásobek očekávaného počtu prken","Du hast eine %1 Chance, die doppelte erwartete Anzahl an Brettern herzustellen","У тебя есть %1 шанс скрафтить вдвое больше досок","Masz %1 szansy na stworzenie podwójnej liczby desek","%1 esélyed van kétszer annyi deszkát készíteni, mint várható","Hai una %1 possibilità di creare il doppio del numero previsto di assi","Tienes un %1 de probabilidad de fabricar el doble de las tablas esperadas","Vous avez %1 de chances de fabriquer le double du nombre prévu de planches","你有%1的几率制作双倍数量的木板。","板を期待数の2倍作れる確率が%1ある。","Você tem %1 de chance de fabricar o dobro da quantidade esperada de tábuas","你有%1的几率制作双倍数量的木板。",
"STR_ZenSkills_Perk_Gathering_Desc10","You have a %1 chance to get an extra log from cutting down trees","You have a %1 chance to get an extra log from cutting down trees","Máš %1 šanci získat navíc kládu při kácení stromů","Du hast eine %1 Chance, beim Fällen von Bäumen einen zusätzlichen Stamm zu bekommen","У тебя есть %1 шанс получить дополнительное бревно при рубке деревьев","Masz %1 szansy na zdobycie dodatkowego kłody przy ścinaniu drzew","%1 esélyed van extra rönköt kapni favágás közben","Hai una %1 possibilità di ottenere un tronco extra abbattendo alberi","Tienes un %1 de probabilidad de obtener un tronco extra al talar árboles","Vous avez %1 de chances d’obtenir une bûche supplémentaire en abattant des arbres","你有%1的几率在砍伐树木时获得额外原木。","木を伐採するときに追加の丸太を得る確率が%1ある。","Você tem %1 de chance de obter um tronco extra ao cortar árvores","你有%1的几率在砍伐树木时获得额外原木。",
"STR_ZenSkills_GUI_Icon","Icon","Icon","Ikona","Symbol","Иконка","Ikona","Ikon","Icona","Ícono","Icône","图标","アイコン","Ícone","图标",
"STR_ZenSkills_GUI_PerkName","Name","Name","Název","Name","Имя","Nazwa","Név","Nome","Nombre","Nom","名称","名前","Nome","名称",
"STR_ZenSkills_GUI_Level","Level","Level","Úroveň","Stufe","Уровень","Poziom","Szint","Livello","Nivel","Niveau","等级","レベル","Nível","等级",
"STR_ZenSkills_GUI_Tier","Tier","Tier","Úroveň","Stufe","Уровень","Stopień","Szint","Livello","Nivel","Niveau","层级","ティア","Categoria","层级",
"STR_ZenSkills_GUI_ShowExp","Show EXP Gained","Show EXP Gained","Zobrazit získané EXP","Zeige erhaltene EXP","Показать полученный опыт","Pokaż zdobyte EXP","Mutasd a megszerzett EXP-t","Mostra EXP guadagnata","Mostrar EXP ganada","Afficher EXP gagnée","显示获得的经验","獲得経験値を表示","Mostrar EXP ganha","显示获得的经验",
"STR_ZenSkills_GUI_ResetPerks","Reset Perks","Reset Perks","Obnovit perky","Perks zurücksetzen","Сбросить умения","Zresetuj perki","Perkek visszaállítása","Reimposta perk","Restablecer perks","Réinitialiser perks","重置技能","パークをリセット","Redefinir perks","重置技能",
"STR_ZenSkills_GUI_Perk","Perk","Perk","Perk","Perk","Перок","Perk","Perk","Perk","Perk","Perk","特权","特典","Perk","特权",
"STR_ZenSkills_GUI_Perks","Perks","Perks","perky","Perks","Перки","perki","perkek","Perks","Perks","Perks","特权","特典","Perks","特权",
"STR_ZenSkills_GUI_SkillPoints","Skill Points","Skill Points","Body dovedností","Fertigkeitspunkte","Очки навыков","Punkty umiejętności","Képességpontok","Punti abilità","Puntos de habilidad","Points de compétence","技能点数","スキルポイント","Pontos de habilidade","技能点数",
"STR_ZenSkills_GUI_PointsToSpend","Skill points to spend","Skill points to spend","Body k utracení","Zu verteilende Fertigkeitspunkte","Очки навыков для распределения","Punkty umiejętności do wydania","Elköltendő képességpontok","Punti abilità da spendere","Puntos de habilidad para gastar","Points de compétence à dépenser","可用技能点","使えるスキルポイント","Pontos de habilidade para gastar","可用技能点",
"STR_ZenSkills_PerkType_Percent","percent","percent","procento","Prozent","процент","procent","százalék","percentuale","por ciento","pour cent","百分比","パーセント","por cento","百分比",
"STR_ZenSkills_GUI_NextLevelReward","Next level's reward","Next level's reward","Odměna za další úroveň","Belohnung der nächsten Stufe","Награда следующего уровня","Nagroda za następny poziom","Következő szint jutalma","Ricompensa del livello successivo","Recompensa del siguiente nivel","Récompense du niveau suivant","下一级奖励","次のレベルの報酬","Recompensa do próximo nível","下一级奖励",
"STR_ZenSkills_GUI_CurrentReward","Current reward","Current reward","Aktuální odměna","Aktuelle Belohnung","Текущая награда","Aktualna nagroda","Jelenlegi jutalom","Ricompensa attuale","Recompensa actual","Récompense actuelle","当前奖励","現在の報酬","Recompensa atual","当前奖励",
"STR_ZenSkills_GUI_MaxLevel","max level","max level","maximální úroveň","maximales Level","максимальный уровень","maksymalny poziom","max szint","livello massimo","nivel máximo","niveau maximum","最高等级","最大レベル","nível máximo","最高等级",
"STR_ZenSkills_GUI_Skill","Skill","Skill","Dovednost","Fertigkeit","Навык","Umiejętność","Képesség","Abilità","Habilidad","Compétence","技能","スキル","Habilidade","技能",
"STR_ZenSkills_GUI_NoSkillPoints","no skill points available","no skill points available","žádné dostupné body dovedností","keine Fertigkeitspunkte verfügbar","нет доступных очков навыков","brak dostępnych punktów umiejętności","nincsenek elérhető képességpontok","nessun punto abilità disponibile","no hay puntos de habilidad disponibles","aucun point de compétence disponible","无可用技能点","使用可能なスキルポイントなし","sem pontos de habilidade disponíveis","无可用技能点",
"STR_ZenSkills_GUI_MissingTier","unlock %1 more perk(s) in Tier %2","unlock %1 more perk(s) in Tier %2","odemkni %1 více perk(ů) v úrovni %2","schalte %1 weitere Perk(s) in Stufe %2 frei","разблокируй ещё %1 перк(ов) на уровне %2","odblokuj %1 więcej perk(ów) w poziomie %2","nyiss meg %1 több perket a(z) %2. szinten","sblocca %1 altri perk al livello %2","desbloquea %1 más perk(s) en el nivel %2","débloquez %1 perk(s) supplémentaires au niveau %2","解锁%1个额外的技能在第%2层级","Tier %2でさらに%1のパークをアンロック","desbloqueie %1 perk(s) adicionais no nível %2","解锁%1个额外的技能在第%2层级",
"STR_ZenSkills_GUI_NotEnoughPoints","You don't have enough skill points available to do that!","You don't have enough skill points available to do that!","Nemáš dostatek bodů dovedností k provedení této akce!","Du hast nicht genug Fertigkeitspunkte dafür!","У тебя недостаточно очков навыков, чтобы это сделать!","Nie masz wystarczającej liczby punktów umiejętności, aby to zrobić!","Nincs elég képességpontod ehhez!","Non hai abbastanza punti abilità per farlo!","No tienes suficientes puntos de habilidad para hacer eso!","Vous n’avez pas assez de points de compétence pour faire ça !","你没有足够的技能点来执行此操作！","スキルポイントが足りません！","Você não tem pontos de habilidade suficientes para fazer isso!","你没有足够的技能点来执行此操作！",
"STR_ZenSkills_GUI_ResetPerksWarning","This will reset all your perks and you will lose %1 of your allocated perk EXP, refunding %2 perks and leaving you with %3 total useable perks points. Are you sure?","This will reset all your perks and you will lose %1 of your allocated perk EXP, refunding %2 perks and leaving you with %3 total useable perks points. Are you sure?","Toto resetuje všechny tvé perky a ztratíš %1 svého přiděleného EXP, vrátí ti %2 perků a zůstane ti %3 použitelných bodů. Jsi si jistý?","Dies setzt alle deine Perks zurück und du verlierst %1 deiner vergebenen EXP, erhältst %2 Perks zurück und hast %3 nutzbare Punkte. Bist du sicher?","Это сбросит все твои перки, ты потеряешь %1 своего выделенного EXP, вернётся %2 перков и останется %3 используемых очков. Ты уверен?","To zresetuje wszystkie twoje perki i stracisz %1 swojego przydzielonego EXP, odzyskasz %2 perków i zostanie ci %3 używalnych punktów. Jesteś pewien?","Ez visszaállítja az összes perket, elveszíted az elosztott EXP %1-át, visszakapsz %2 perket, és %3 felhasználható pontod marad. Biztos vagy benne?","Questo reimposterà tutti i tuoi perk e perderai il %1 della tua EXP assegnata, ti verranno rimborsati %2 perk e ti resteranno %3 punti utilizzabili. Sei sicuro?","Esto reiniciará todos tus perks y perderás el %1 de tu EXP asignada, recuperando %2 perks y quedándote con %3 puntos utilizables. ¿Estás seguro?","Cela réinitialisera tous vos perks et vous perdrez %1 de votre EXP attribuée, récupérerez %2 perks et il vous restera %3 points utilisables. Êtes-vous sûr ?","这将重置你所有的技能，你将失去%1已分配的技能经验，返还%2技能，并剩余%3可用技能点。确定吗？","これですべてのパークがリセットされ、割り当てたEXPの%1を失い、%2パークが返却され、合計%3の使用可能ポイントが残ります。本当に続けますか？","Isso redefinirá todos os seus perks e você perderá %1 de sua EXP alocada, reembolsando %2 perks e deixando você com %3 pontos utilizáveis. Tem certeza?","这将重置你所有的技能，你将失去%1已分配的技能经验，返还%2技能，并剩余%3可用技能点。确定吗？",
"STR_ZenSkills_GUI_SafePredatorMeat","This piece smells safe to eat","This piece smells safe to eat","Tento kus voní bezpečně k jídlu.","Dieses Stück riecht sicher zum Essen.","Этот кусок пахнет безопасно для еды.","Ten kawałek pachnie bezpiecznie do jedzenia.","Ez a darab biztonságosnak tűnik.","Questo pezzo sembra sicuro da mangiare.","Este trozo huele seguro para comer.","Ce morceau semble sûr à manger.","这块肉闻起来可以安全食用。","この肉は食べても安全そうな匂いがする。","Este pedaço parece seguro para comer.","这块肉闻起来可以安全食用。",
"STR_ZenSkills_GUI_ConfirmPerkUnlock","Are you sure you want to spend a point on this perk","Are you sure you want to spend a point on this perk","Jsi si jistý, že chceš utratit bod za tento perk?","Bist du sicher, dass du einen Punkt für diesen Perk ausgeben möchtest?","Ты уверен, что хочешь потратить очко на этот перк?","Czy na pewno chcesz wydać punkt na ten perk?","Biztos vagy benne, hogy pontot költesz erre a perkre?","Sei sicuro di voler spendere un punto per questo perk?","¿Seguro que quieres gastar un punto en este perk?","Êtes-vous sûr de vouloir dépenser un point pour ce perk ?","你确定要在这个技能上花费一点吗？","このパークにポイントを使ってもよろしいですか？","Você tem certeza de que deseja gastar um ponto neste perk?","你确定要在这个技能上花费一点吗？",
"STR_ZenSkills_GUI_Nurture","Nurture","Nurture","Péče","Pflege","Забота","Pielęgnacja","Gondoskodás","Cura","Cuidado","Soin","关怀","養育","Cuidado","关怀",
"STR_ZenSkills_GUI_ExpGained","EXP Gained","EXP Gained","Získané EXP","Erhaltene EXP","Получено ОП","Zdobyte EXP","Szerzett EXP","EXP Ottenuta","EXP Ganada","EXP Gagnée","获得经验","獲得EXP","EXP Ganha","获得经验",
"STR_ZenSkills_GUI_Unlocked","You've unlocked","You've unlocked","Odemkl jsi","Du hast freigeschaltet","Вы открыли","Odblokowałeś","Feloldottad","Hai sbloccato","Has desbloqueado","Vous avez débloqué","你已解锁","アンロックしました","Você desbloqueou","你已解锁",
"STR_ZenSkills_GUI_ExpBoost","EXP Boost","EXP Boost","Posílení EXP","EXP-Boost","Бонус ОП","Wzmocnienie EXP","EXP Növelés","Potenzia EXP","Impulso EXP","Boost EXP","经验加成","EXPブースト","Impulso EXP","经验加成",
"STR_ZenSkills_GUI_MinutesLeft","minutes left","minutes left","zbývá minut","Minuten übrig","минут осталось","pozostało minut","hátralévő perc","minuti rimasti","minutos restantes","minutes restantes","剩余分钟","残り分","minutos restantes","剩余分钟",

"STR_ZenSkills_Item_SkillBook","Skill Book","Skill Book","Kniha dovedností","Fertigkeitenbuch","Книга навыков","Księga umiejętności","Képességkönyv","Libro delle abilità","Libro de habilidades","Livre de compétences","技能书","スキルブック","Livro de habilidades","技能书",
